frame,u,v,conf,cls,w_px,h_px,angle_deg,colour_b,colour_g,colour_r
374,937.6800537109375,457.99284744262695,0.5525858998298645,9,26.34390640258789,34.298099517822266,3.153017238345224,230.0,231.5,227.5
375,938.8500061035156,447.06488037109375,0.7990313172340393,9,24.556015014648438,81.57767486572266,4.154484333888235,229.0,228.0,224.0
375,897.1136169433594,909.9227905273438,0.6765188574790955,10,23.734928131103516,57.611122131347656,4.9760237561256,43.0,31.0,25.0
376,938.9866943359375,460.5263366699219,0.7284471392631531,9,24.744123458862305,80.34501647949219,4.540480948887281,228.0,228.5,224.0
376,896.6637268066406,923.491455078125,0.6489370465278625,10,24.000587463378906,57.69832229614258,4.634787505191763,43.0,31.0,25.0
377,896.5603637695312,937.2484130859375,0.7376850247383118,10,24.72278594970703,58.1139030456543,4.9782388718508,44.0,31.0,25.0
377,937.3975524902344,476.7163314819336,0.720392644405365,9,24.01506233215332,72.052490234375,3.979588375566773,226.0,224.0,221.0
378,937.2569580078125,486.5705108642578,0.7405675649642944,9,25.28915023803711,80.18859100341797,4.435719507397626,225.0,231.0,226.0
378,895.4684143066406,951.3701171875,0.7235586643218994,10,24.810993194580078,58.341270446777344,4.934304533788339,42.0,31.0,25.0
379,936.7178039550781,499.8031921386719,0.6102702021598816,9,24.985456466674805,78.97810363769531,4.23237026165436,229.0,230.0,227.0
379,895.0569458007812,964.3775024414062,0.6089552044868469,10,24.981584548950195,58.02960205078125,4.684204777610452,42.0,31.0,25.0
380,894.2570495605469,978.7915649414062,0.6994513273239136,10,24.248031616210938,57.21131134033203,5.41310036771941,41.0,31.0,25.0
380,936.1916809082031,512.6221313476562,0.657371997833252,9,24.686630249023438,79.67649841308594,4.265141509292081,225.5,230.0,227.0
381,893.8656616210938,992.6294555664062,0.7460284233093262,10,24.779592514038086,57.425514221191406,5.3338304728727115,43.0,32.0,26.0
381,935.6014404296875,525.4021606445312,0.7327797412872314,9,24.096424102783203,79.54753875732422,4.249955010559381,225.0,227.0,225.0
382,893.5000915527344,1006.4525146484375,0.733885645866394,10,23.95233154296875,56.9757080078125,5.933539865020048,42.0,31.0,25.0
382,935.0592651367188,538.4785690307617,0.6823310852050781,9,24.19948387145996,78.0508804321289,4.110855646791133,225.0,228.0,226.0
383,934.6547546386719,551.2025375366211,0.7890900373458862,9,24.402786254882812,79.22567749023438,3.8529451424105123,224.0,223.0,221.0
383,892.8691711425781,1020.0362548828125,0.7412125468254089,10,24.37247085571289,57.916465759277344,5.1964100549798165,42.0,32.0,25.0
384,933.8611145019531,564.1014404296875,0.7859595417976379,9,24.41030502319336,78.87388610839844,4.0591856926068095,227.0,227.0,226.0
384,892.5274963378906,1033.6507568359375,0.7215468287467957,10,25.27509307861328,59.010948181152344,5.1547552925528475,44.0,32.5,26.0
385,933.5943908691406,577.1905517578125,0.8030688166618347,9,25.04755401611328,79.33605194091797,4.026028112394159,225.5,225.0,223.0
385,891.5921325683594,1046.3031616210938,0.7779601812362671,10,25.690555572509766,59.249755859375,5.1933736090069225,43.0,32.0,26.0
